,Unnamed: 0,고객ID,거래ID,거래날짜,제품ID,제품카테고리,수량,평균금액,배송료,쿠폰상태,년,월,일,성별,고객지역,가입기간,쿠폰코드,할인율,오프라인비용,온라인비용,GST,고객ID_count,고객생애주기,평균구매금액,구매횟수,cluster
0,0,USER_1358,Transaction_0000,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Used,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
1,1,USER_1358,Transaction_0001,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Used,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
2,2,USER_1358,Transaction_0002,2019-01-01,Product_0904,Office,1,2.05,6.5,Used,2019,1,1,남,Chicago,12,OFF10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
3,3,USER_1358,Transaction_0003,2019-01-01,Product_0203,Apparel,5,17.53,6.5,Not Used,2019,1,1,남,Chicago,12,SALE10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
4,4,USER_1358,Transaction_0003,2019-01-01,Product_0848,Bags,1,16.5,6.5,Used,2019,1,1,남,Chicago,12,AIO10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
5,5,USER_1358,Transaction_0003,2019-01-01,Product_0854,Bags,15,5.15,6.5,Used,2019,1,1,남,Chicago,12,AIO10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
6,6,USER_1358,Transaction_0003,2019-01-01,Product_0880,Drinkware,15,3.08,6.5,Not Used,2019,1,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
7,7,USER_1358,Transaction_0003,2019-01-01,Product_0885,Drinkware,15,10.31,6.5,Clicked,2019,1,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
8,8,USER_1358,Transaction_0003,2019-01-01,Product_0898,Drinkware,5,9.27,6.5,Used,2019,1,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
9,47,USER_1358,Transaction_0013,2019-01-01,Product_0973,Lifestyle,1,1.24,6.5,Used,2019,1,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
10,48,USER_1358,Transaction_0013,2019-01-01,Product_0983,Nest-USA,2,122.77,6.5,Not Used,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
11,49,USER_1358,Transaction_0014,2019-01-01,Product_0268,Apparel,1,19.59,6.5,Clicked,2019,1,1,남,Chicago,12,SALE10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
12,50,USER_1358,Transaction_0014,2019-01-01,Product_1017,Waze,1,7.21,6.5,Used,2019,1,1,남,Chicago,12,WEMP10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
13,51,USER_1358,Transaction_0015,2019-01-01,Product_0984,Nest-USA,1,81.5,6.5,Clicked,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
14,52,USER_1358,Transaction_0016,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Clicked,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
15,53,USER_1358,Transaction_0017,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Clicked,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
16,54,USER_1358,Transaction_0018,2019-01-01,Product_0981,Nest-USA,2,153.71,6.5,Clicked,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
17,55,USER_1358,Transaction_0019,2019-01-01,Product_0984,Nest-USA,2,81.5,6.5,Not Used,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
18,56,USER_1358,Transaction_0020,2019-01-01,Product_0175,Drinkware,10,13.4,6.5,Clicked,2019,1,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
19,57,USER_1358,Transaction_0020,2019-01-01,Product_0181,Drinkware,1,13.4,6.5,Clicked,2019,1,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
20,58,USER_1358,Transaction_0020,2019-01-01,Product_0645,Apparel,1,108.31,6.5,Used,2019,1,1,남,Chicago,12,SALE10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
21,59,USER_1358,Transaction_0020,2019-01-01,Product_0847,Bags,10,5.15,6.5,Clicked,2019,1,1,남,Chicago,12,AIO10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
22,60,USER_1358,Transaction_0020,2019-01-01,Product_0919,Headgear,10,22.69,6.5,Clicked,2019,1,1,남,Chicago,12,HGEAR10,10.0,4500,2424.5,0.05,297,20483.98,68.96962962962962,297,1
23,61,USER_1358,Transaction_0020,2019-01-01,Product_0981,Nest-USA,1,256.88,6.5,Used,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
24,62,USER_1358,Transaction_0020,2019-01-01,Product_1138,Fun,4,9.27,6.5,Used,2019,1,1,남,Chicago,12,,,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
25,63,USER_1358,Transaction_0021,2019-01-01,Product_0204,Apparel,1,14.02,6.5,Clicked,2019,1,1,남,Chicago,12,SALE10,10.0,4500,2424.5,0.18,297,20483.98,68.96962962962962,297,1
26,64,USER_1358,Transaction_0022,2019-01-01,Product_0981,Nest-USA,1,153.71,28.78,Clicked,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
27,66,USER_1358,Transaction_0024,2019-01-01,Product_0983,Nest-USA,1,122.77,6.5,Used,2019,1,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,0.1,297,20483.98,68.96962962962962,297,1
