고객ID,성별,고객지역,가입기간,총구매금액,구매횟수,평균구매금액,고객생애주기
USER_1358,남,Chicago,1.0,20483.98,297,68.96962962962962,20483.98
USER_0190,남,California,3.5833333333333335,2320.33,44,52.73477272727273,8314.515833333335
USER_0066,남,Chicago,2.75,1319.79,42,31.423571428571428,3629.4225
USER_0345,여,California,2.5,1.24,1,1.24,3.1
USER_0683,남,California,4.083333333333333,433.17,6,72.19500000000001,1768.7775
USER_0730,남,California,2.6666666666666665,495.42,35,14.154857142857143,1321.12
USER_0585,여,New York,3.8333333333333335,4787.76,58,82.54758620689655,18353.08
USER_1347,여,New Jersey,2.0,222.98999999999998,15,14.865999999999998,445.97999999999996
USER_0736,여,Chicago,3.3333333333333335,29633.75,587,50.48339011925042,98779.16666666666
USER_0541,남,California,3.5833333333333335,8318.59,199,41.80195979899498,29808.280833333338
USER_0922,남,Chicago,4.083333333333333,760.89,12,63.4075,3106.9674999999997
USER_1421,여,California,0.8333333333333334,1522.8500000000001,13,117.1423076923077,1269.0416666666667
USER_1249,여,New York,1.5833333333333333,390.31,7,55.75857142857143,617.9908333333333
USER_0906,여,Washington DC,3.3333333333333335,3444.73,52,66.24480769230769,11482.433333333334
USER_0954,여,California,2.5,1146.32,14,81.88,2865.7999999999997
USER_0025,여,New Jersey,1.1666666666666667,3999.3,44,90.89318181818182,4665.85
USER_1267,여,Chicago,2.0833333333333335,11546.15,213,54.207276995305165,24054.47916666667
USER_1277,남,Chicago,4.166666666666667,407.03999999999996,7,58.14857142857142,1696.0
USER_0337,여,Chicago,3.25,658.76,10,65.876,2140.9700000000003
USER_0344,여,Chicago,1.75,153.71,1,153.71,268.9925
USER_0281,남,Chicago,2.5,4103.48,78,52.608717948717945,10258.699999999999
USER_0351,여,Chicago,2.4166666666666665,3151.65,73,43.17328767123288,7616.487499999999
USER_1383,남,New Jersey,2.1666666666666665,206.67000000000002,5,41.334,447.785
USER_0284,여,California,3.4166666666666665,1596.52,36,44.34777777777778,5454.776666666667
USER_0867,여,California,2.0,5347.78,64,83.5590625,10695.56
USER_0783,여,Chicago,1.75,1949.6100000000001,46,42.38282608695653,3411.8175000000006
USER_0130,여,Washington DC,2.1666666666666665,140.3,2,70.15,303.98333333333335
USER_0947,남,Chicago,3.3333333333333335,2744.75,28,98.02678571428571,9149.166666666666
USER_0412,여,California,1.1666666666666667,104.74,5,20.948,122.19666666666667
USER_0484,여,California,2.3333333333333335,5209.84,79,65.9473417721519,12156.293333333333
USER_1378,여,California,1.25,3706.06,58,63.89758620689655,4632.575
USER_1382,여,California,1.5,7299.13,105,69.51552380952381,10948.695
USER_0138,여,California,2.5833333333333335,2337.29,59,39.61508474576271,6037.9991666666665
USER_0251,남,California,1.25,679.4200000000001,6,113.23666666666668,849.2750000000001
USER_1030,여,California,2.25,417.43,14,29.81642857142857,939.2175
USER_1424,남,Chicago,2.8333333333333335,1313.93,29,45.30793103448276,3722.8016666666676
USER_0349,남,Washington DC,3.8333333333333335,1475.9,33,44.724242424242426,5657.616666666667
USER_0334,여,California,3.6666666666666665,4091.27,104,39.339134615384616,15001.323333333334
USER_0895,남,New York,2.0833333333333335,3368.25,81,41.583333333333336,7017.187500000001
USER_0630,여,New Jersey,3.75,2632.75,52,50.62980769230769,9872.8125
USER_1395,남,New York,2.75,3360.58,85,39.536235294117645,9241.595
USER_0946,남,New York,4.083333333333333,2577.2,42,61.36190476190476,10523.566666666666
USER_1376,남,Washington DC,1.5833333333333333,3889.84,73,53.285479452054794,6158.913333333334
USER_1236,남,Chicago,2.8333333333333335,2192.04,45,48.711999999999996,6210.780000000001
USER_1020,여,California,2.25,321.63,5,64.326,723.6675
USER_1175,여,New York,4.083333333333333,173.3,2,86.65,707.6416666666667
USER_1389,여,Chicago,3.0,673.54,10,67.354,2020.6200000000001
USER_0595,남,Washington DC,3.5833333333333335,5072.87,71,71.44887323943662,18177.784166666668
USER_0118,여,Chicago,2.3333333333333335,31285.63,695,45.015294964028776,72999.80333333333
USER_0657,여,California,3.5,3289.5,54,60.916666666666664,11513.249999999998
USER_0147,여,California,0.6666666666666666,2680.14,46,58.26391304347826,1786.76
USER_1284,여,Chicago,4.083333333333333,40.39,4,10.0975,164.92583333333332
USER_0420,여,New York,0.5833333333333334,158.29999999999998,13,12.176923076923076,92.34166666666667
USER_0403,여,New York,0.8333333333333334,523.66,9,58.18444444444444,436.3833333333333
USER_0085,남,Chicago,1.75,1508.56,34,44.36941176470588,2639.98
USER_0786,남,New York,4.0,4448.01,57,78.03526315789475,17792.04
USER_0466,여,Chicago,3.25,494.73,9,54.97,1607.8725
USER_1377,남,New York,3.5,1149.02,28,41.03642857142857,4021.5699999999997
USER_0776,남,New York,2.0833333333333335,1220.8799999999999,43,28.39255813953488,2543.5
USER_0026,남,California,2.6666666666666665,6029.22,147,41.01510204081633,16077.920000000002
USER_1129,여,New York,1.25,926.55,16,57.909375,1158.1875
USER_0745,남,California,4.0,562.03,5,112.40599999999999,2248.12
USER_0808,여,California,1.75,1431.92,12,119.32666666666667,2505.8599999999997
USER_1438,여,California,2.1666666666666665,418.88,10,41.888,907.5733333333333
USER_0881,남,Chicago,2.4166666666666665,514.98,12,42.915,1244.5349999999999
USER_0560,남,California,0.4166666666666667,2937.84,31,94.76903225806453,1224.1000000000001
USER_0694,여,New Jersey,3.0,1216.05,27,45.038888888888884,3648.1499999999996
USER_0643,여,California,2.8333333333333335,29721.53,523,56.8289292543021,84211.00166666668
USER_0996,남,California,3.9166666666666665,6123.78,62,98.77064516129032,23984.804999999997
USER_1355,남,California,1.75,27616.21,572,48.28008741258741,48328.3675
USER_0034,여,New Jersey,0.16666666666666666,7242.83,126,57.48277777777778,1207.138333333333
USER_1224,여,New Jersey,1.0,2192.92,47,46.657872340425534,2192.92
USER_1303,여,California,2.75,455.03,8,56.87875,1251.3325
USER_1369,남,California,2.1666666666666665,582.61,9,64.73444444444445,1262.3216666666665
USER_0205,남,California,2.9166666666666665,7564.74,143,52.90027972027972,22063.825
USER_0156,남,New York,4.083333333333333,3294.19,59,55.833728813559325,13451.275833333333
USER_0288,남,New York,2.75,3932.03,79,49.77253164556962,10813.0825
USER_1337,여,New Jersey,3.75,690.5500000000001,9,76.72777777777779,2589.5625
USER_1120,여,California,1.5833333333333333,917.33,11,83.39363636363636,1452.4391666666666
USER_0913,남,New Jersey,1.0,668.06,8,83.5075,668.06
USER_0961,여,California,3.5833333333333335,3460.9900000000002,67,51.65656716417911,12401.880833333335
USER_0531,여,California,3.9166666666666665,397.13,19,20.90157894736842,1555.4258333333332
USER_0587,남,New York,4.0,2914.23,35,83.26371428571429,11656.92
USER_1015,남,California,0.16666666666666666,1722.77,30,57.425666666666665,287.1283333333333
USER_1141,여,Chicago,3.75,634.46,5,126.89200000000001,2379.2250000000004
USER_0353,여,California,0.5833333333333334,5469.27,67,81.63089552238807,3190.4075000000007
USER_1317,여,Chicago,0.5,3502.63,76,46.08723684210526,1751.315
USER_0165,남,California,4.0,3024.54,36,84.015,12098.16
USER_1260,여,California,2.9166666666666665,268.89,8,33.61125,784.2624999999999
USER_1456,남,New York,1.3333333333333333,1547.0,17,91.0,2062.6666666666665
USER_0438,여,Chicago,1.75,2319.04,22,105.41090909090909,4058.32
USER_1153,여,California,0.8333333333333334,1568.43,30,52.281,1307.025
USER_0195,여,Chicago,2.6666666666666665,975.63,14,69.68785714285714,2601.68
USER_0563,여,Chicago,2.75,29676.79,575,51.61180869565217,81611.1725
USER_1091,남,Chicago,0.9166666666666666,92.80000000000001,5,18.560000000000002,85.06666666666668
USER_0718,여,New Jersey,1.9166666666666667,3627.48,88,41.221363636363634,6952.669999999999
USER_0312,남,New York,1.9166666666666667,1159.47,34,34.10205882352941,2222.3175
USER_1406,남,California,0.5833333333333334,1505.59,28,53.771071428571425,878.2608333333334
USER_0203,남,New Jersey,0.3333333333333333,738.2099999999999,13,56.78538461538461,246.06999999999994
USER_0828,여,New York,3.4166666666666665,1561.3,24,65.05416666666666,5334.441666666666
USER_0602,남,California,2.6666666666666665,794.66,19,41.82421052631579,2119.0933333333332
USER_0340,남,California,1.9166666666666667,3882.12,100,38.8212,7440.73
USER_0427,여,Chicago,3.4166666666666665,2217.5,61,36.35245901639344,7576.458333333332
USER_1330,여,Chicago,0.6666666666666666,1086.44,18,60.357777777777784,724.2933333333333
USER_0144,여,New York,2.75,399.25,3,133.08333333333334,1097.9375
USER_0840,여,New York,2.25,886.8100000000001,14,63.34357142857143,1995.3225000000002
USER_1359,여,New York,1.0833333333333333,1195.91,17,70.34764705882354,1295.569166666667
USER_0413,여,California,0.8333333333333334,99.69,15,6.646,83.075
USER_1384,남,New York,1.0,19.59,1,19.59,19.59
USER_0391,여,New York,3.1666666666666665,755.84,12,62.98666666666667,2393.4933333333333
USER_1138,남,California,3.3333333333333335,5008.41,75,66.7788,16694.7
USER_0437,여,Chicago,1.75,2807.77,70,40.111,4913.5975
USER_0212,여,Chicago,3.75,51.35,10,5.135,192.56249999999997
USER_0033,여,California,0.9166666666666666,8203.95,128,64.093359375,7520.2875
USER_0806,여,Chicago,3.8333333333333335,8826.53,157,56.21993630573249,33835.03166666667
USER_0282,여,New York,1.8333333333333333,2661.51,49,54.316530612244904,4879.435
USER_0607,남,New York,2.0,521.78,8,65.2225,1043.56
USER_0820,남,Chicago,2.0,2300.44,28,82.15857142857143,4600.88
USER_0496,여,California,0.5,588.8199999999999,23,25.600869565217387,294.40999999999997
USER_0641,여,Chicago,0.3333333333333333,2331.75,40,58.29375,777.25
USER_1411,남,Washington DC,2.5,9517.72,163,58.39092024539877,23794.299999999996
USER_0889,여,California,4.083333333333333,1070.42,20,53.521,4370.881666666666
USER_0677,여,Washington DC,3.25,1.99,1,1.99,6.4675
USER_0953,여,New York,3.0,3748.76,63,59.50412698412699,11246.28
USER_0687,남,New Jersey,0.75,1134.0,16,70.875,850.5
USER_0498,남,Chicago,3.0833333333333335,2627.84,28,93.85142857142857,8102.506666666667
USER_1016,여,California,3.5,987.53,12,82.29416666666667,3456.355
USER_0721,여,Chicago,3.75,1191.8899999999999,17,70.11117647058823,4469.587500000001
USER_0261,여,Chicago,3.1666666666666665,219.7,5,43.94,695.7166666666666
USER_0530,여,California,0.5,312.52000000000004,4,78.13000000000001,156.26000000000002
USER_0417,여,Chicago,1.8333333333333333,1769.04,40,44.226,3243.24
USER_0882,여,Chicago,2.8333333333333335,1587.82,21,75.61047619047619,4498.823333333334
USER_1071,남,New York,3.5,571.0,9,63.44444444444444,1998.5
USER_1204,여,Washington DC,3.75,941.63,22,42.80136363636364,3531.1125000000006
USER_0751,남,New York,2.6666666666666665,756.88,16,47.305,2018.3466666666666
USER_0154,여,Washington DC,0.25,774.51,13,59.57769230769231,193.6275
USER_0791,남,Chicago,1.8333333333333333,1580.37,26,60.78346153846154,2897.345
USER_0837,남,New Jersey,1.3333333333333333,1201.99,37,32.486216216216214,1602.6533333333332
USER_0911,여,Chicago,1.3333333333333333,485.88,6,80.98,647.8399999999999
USER_1237,남,New Jersey,1.4166666666666667,1772.34,19,93.28105263157894,2510.815
USER_0856,여,Chicago,0.25,2178.82,29,75.13172413793104,544.705
USER_0447,여,California,0.9166666666666666,4157.88,88,47.248636363636365,3811.3900000000003
USER_0216,남,New Jersey,2.5,1470.8899999999999,34,43.26147058823529,3677.2249999999995
USER_1114,여,New York,0.5833333333333334,2288.44,50,45.7688,1334.9233333333334
USER_1392,남,New Jersey,0.4166666666666667,2995.73,35,85.59228571428571,1248.2208333333333
USER_0525,여,Chicago,1.5,1404.6,17,82.62352941176471,2106.9
USER_1193,남,California,1.0,1341.13,10,134.113,1341.13
USER_1007,여,California,3.25,1240.6399999999999,13,95.43384615384615,4032.0799999999995
USER_1346,여,California,1.0833333333333333,364.3,12,30.358333333333334,394.6583333333333
USER_0685,여,New York,1.6666666666666667,672.25,20,33.6125,1120.4166666666665
USER_1398,남,Washington DC,1.0,3611.32,65,55.55876923076924,3611.32
USER_0520,남,New Jersey,3.25,3068.4900000000002,50,61.369800000000005,9972.5925
USER_0860,여,Chicago,0.75,403.34,6,67.22333333333333,302.505
USER_1080,여,New York,3.1666666666666665,1595.03,19,83.94894736842105,5050.928333333333
USER_1276,남,Chicago,3.4166666666666665,161.13,2,80.565,550.5274999999999
USER_0293,여,Chicago,1.3333333333333333,2569.33,42,61.174523809523805,3425.773333333333
USER_0941,여,New York,1.5,561.68,20,28.083999999999996,842.5199999999998
USER_1316,남,Washington DC,3.0833333333333335,1651.92,41,40.29073170731707,5093.42
USER_1287,남,California,2.0833333333333335,4137.7,65,63.65692307692307,8620.208333333334
USER_0836,여,Chicago,1.75,322.86,5,64.572,565.005
USER_0221,여,California,1.75,1001.88,14,71.56285714285714,1753.29
USER_0855,남,New York,2.25,510.66,17,30.038823529411765,1148.9850000000001
USER_1282,여,California,0.75,542.73,27,20.101111111111113,407.04750000000007
USER_0675,남,California,0.5833333333333334,8824.37,170,51.908058823529416,5147.549166666668
