,고객ID,거래ID,거래날짜,제품ID,제품카테고리,수량,평균금액,배송료,쿠폰상태,총구매금액,구매횟수,평균구매금액,평균구매빈도,고객생애가치,거래날짜달기준,최초거래날짜,최초구매일로부터달,다음구매날짜,다음쿠폰상태,최종금액,재구매날까지의일,월,년,일,성별,고객지역,가입기간,쿠폰코드,할인율,오프라인비용,온라인비용,cluster
0,USER_1358,Transaction_0000,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
1,USER_1358,Transaction_0001,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
2,USER_1358,Transaction_0002,2019-01-01,Product_0904,Office,1,2.05,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Not Used,2.05,0.0,1,2019,1,남,Chicago,12,OFF10,10.0,4500,2424.5,1
3,USER_1358,Transaction_0003,2019-01-01,Product_0203,Apparel,5,17.53,6.5,Not Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,87.65,0.0,1,2019,1,남,Chicago,12,SALE10,10.0,4500,2424.5,1
4,USER_1358,Transaction_0003,2019-01-01,Product_0848,Bags,1,16.5,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,16.5,0.0,1,2019,1,남,Chicago,12,AIO10,10.0,4500,2424.5,1
5,USER_1358,Transaction_0003,2019-01-01,Product_0854,Bags,15,5.15,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Not Used,77.25,0.0,1,2019,1,남,Chicago,12,AIO10,10.0,4500,2424.5,1
6,USER_1358,Transaction_0003,2019-01-01,Product_0880,Drinkware,15,3.08,6.5,Not Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,46.2,0.0,1,2019,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,1
7,USER_1358,Transaction_0003,2019-01-01,Product_0885,Drinkware,15,10.31,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,154.65,0.0,1,2019,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,1
8,USER_1358,Transaction_0003,2019-01-01,Product_0898,Drinkware,5,9.27,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,46.349999999999994,0.0,1,2019,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,1
9,USER_1358,Transaction_0013,2019-01-01,Product_0973,Lifestyle,1,1.24,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Not Used,1.24,0.0,1,2019,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,1
10,USER_1358,Transaction_0013,2019-01-01,Product_0983,Nest-USA,2,122.77,6.5,Not Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,245.54,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
11,USER_1358,Transaction_0014,2019-01-01,Product_0268,Apparel,1,19.59,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,19.59,0.0,1,2019,1,남,Chicago,12,SALE10,10.0,4500,2424.5,1
12,USER_1358,Transaction_0014,2019-01-01,Product_1017,Waze,1,7.21,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,7.21,0.0,1,2019,1,남,Chicago,12,WEMP10,10.0,4500,2424.5,1
13,USER_1358,Transaction_0015,2019-01-01,Product_0984,Nest-USA,1,81.5,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,81.5,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
14,USER_1358,Transaction_0016,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
15,USER_1358,Transaction_0017,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
16,USER_1358,Transaction_0018,2019-01-01,Product_0981,Nest-USA,2,153.71,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Not Used,307.42,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
17,USER_1358,Transaction_0019,2019-01-01,Product_0984,Nest-USA,2,81.5,6.5,Not Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,163.0,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
18,USER_1358,Transaction_0020,2019-01-01,Product_0175,Drinkware,10,13.4,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,134.0,0.0,1,2019,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,1
19,USER_1358,Transaction_0020,2019-01-01,Product_0181,Drinkware,1,13.4,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,13.4,0.0,1,2019,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,1
20,USER_1358,Transaction_0020,2019-01-01,Product_0645,Apparel,1,108.31,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,108.31,0.0,1,2019,1,남,Chicago,12,SALE10,10.0,4500,2424.5,1
21,USER_1358,Transaction_0020,2019-01-01,Product_0847,Bags,10,5.15,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,51.5,0.0,1,2019,1,남,Chicago,12,AIO10,10.0,4500,2424.5,1
22,USER_1358,Transaction_0020,2019-01-01,Product_0919,Headgear,10,22.69,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,226.9,0.0,1,2019,1,남,Chicago,12,HGEAR10,10.0,4500,2424.5,1
23,USER_1358,Transaction_0020,2019-01-01,Product_0981,Nest-USA,1,256.88,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,256.88,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
24,USER_1358,Transaction_0020,2019-01-01,Product_1138,Fun,4,9.27,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,37.08,0.0,1,2019,1,남,Chicago,12,,,4500,2424.5,1
25,USER_1358,Transaction_0021,2019-01-01,Product_0204,Apparel,1,14.02,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,14.02,0.0,1,2019,1,남,Chicago,12,SALE10,10.0,4500,2424.5,1
26,USER_1358,Transaction_0022,2019-01-01,Product_0981,Nest-USA,1,153.71,28.78,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
27,USER_1358,Transaction_0024,2019-01-01,Product_0983,Nest-USA,1,122.77,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,122.77,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
28,USER_1358,Transaction_0025,2019-01-01,Product_1096,Apparel,1,57.76,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,57.76,0.0,1,2019,1,남,Chicago,12,SALE10,10.0,4500,2424.5,1
29,USER_1358,Transaction_0026,2019-01-01,Product_0269,Apparel,1,19.59,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,19.59,0.0,1,2019,1,남,Chicago,12,SALE10,10.0,4500,2424.5,1
30,USER_1358,Transaction_0026,2019-01-01,Product_0904,Office,1,2.05,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,2.05,0.0,1,2019,1,남,Chicago,12,OFF10,10.0,4500,2424.5,1
31,USER_1358,Transaction_0027,2019-01-01,Product_0849,Bags,4,3.61,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,14.44,0.0,1,2019,1,남,Chicago,12,AIO10,10.0,4500,2424.5,1
32,USER_1358,Transaction_0027,2019-01-01,Product_0898,Drinkware,4,9.27,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Not Used,37.08,0.0,1,2019,1,남,Chicago,12,EXTRA10,10.0,4500,2424.5,1
33,USER_1358,Transaction_0028,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Not Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
34,USER_1358,Transaction_0029,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
35,USER_1358,Transaction_0029,2019-01-01,Product_0983,Nest-USA,1,122.77,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,122.77,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
36,USER_1358,Transaction_0030,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
37,USER_1358,Transaction_0031,2019-01-01,Product_0981,Nest-USA,1,153.71,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,153.71,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
38,USER_1358,Transaction_0031,2019-01-01,Product_0983,Nest-USA,2,122.77,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Used,245.54,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
39,USER_1358,Transaction_0032,2019-01-01,Product_0976,Nest-USA,1,122.77,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Not Used,122.77,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
40,USER_1358,Transaction_0032,2019-01-01,Product_0983,Nest-USA,1,122.77,6.5,Not Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,122.77,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
41,USER_1358,Transaction_0033,2019-01-01,Product_0976,Nest-USA,1,122.77,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,122.77,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
42,USER_1358,Transaction_0034,2019-01-01,Product_0976,Nest-USA,1,122.77,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,122.77,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
43,USER_1358,Transaction_0036,2019-01-01,Product_0976,Nest-USA,1,122.77,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-01,Clicked,122.77,0.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
44,USER_1358,Transaction_0037,2019-01-01,Product_0983,Nest-USA,2,122.77,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Used,245.54,2.0,1,2019,1,남,Chicago,12,ELEC10,10.0,4500,2424.5,1
45,USER_1358,Transaction_0157,2019-01-03,Product_0952,Office,4,9.07,28.78,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Used,36.28,0.0,1,2019,3,남,Chicago,12,OFF10,10.0,4500,1576.38,1
46,USER_1358,Transaction_0158,2019-01-03,Product_0981,Nest-USA,1,153.71,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Not Used,153.71,0.0,1,2019,3,남,Chicago,12,ELEC10,10.0,4500,1576.38,1
47,USER_1358,Transaction_0159,2019-01-03,Product_0983,Nest-USA,2,122.77,6.5,Not Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Clicked,245.54,0.0,1,2019,3,남,Chicago,12,ELEC10,10.0,4500,1576.38,1
48,USER_1358,Transaction_0160,2019-01-03,Product_0981,Nest-USA,1,153.71,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Used,153.71,0.0,1,2019,3,남,Chicago,12,ELEC10,10.0,4500,1576.38,1
49,USER_1358,Transaction_0161,2019-01-03,Product_0981,Nest-USA,1,153.71,6.5,Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Clicked,153.71,0.0,1,2019,3,남,Chicago,12,ELEC10,10.0,4500,1576.38,1
50,USER_1358,Transaction_0162,2019-01-03,Product_0981,Nest-USA,1,153.71,6.5,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Not Used,153.71,0.0,1,2019,3,남,Chicago,12,ELEC10,10.0,4500,1576.38,1
51,USER_1358,Transaction_0163,2019-01-03,Product_0892,Drinkware,26,19.83,74.74,Not Used,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Clicked,515.5799999999999,0.0,1,2019,3,남,Chicago,12,EXTRA10,10.0,4500,1576.38,1
52,USER_1358,Transaction_0163,2019-01-03,Product_0904,Office,5,1.64,74.74,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Clicked,8.2,0.0,1,2019,3,남,Chicago,12,OFF10,10.0,4500,1576.38,1
53,USER_1358,Transaction_0163,2019-01-03,Product_0905,Office,3,2.89,74.74,Clicked,20483.98,297,68.96962962962962,0.8136986301369863,56.12049315068492,2019-01-01,2019-01-01,1,2019-01-03,Clicked,8.67,0.0,1,2019,3,남,Chicago,12,OFF10,10.0,4500,1576.38,1
